sid,target,segment,raw_word_count,translation,version,ice_locked,status,time_to_edit,filename,id_file,warning,suggestion_match,suggestion_source,suggestion,edit_distance,locked,match_type,pee,ice_modified,secs_per_word,parsed_time_to_edit,last_translation,revision,second_pass_revision,pee_translation_revise,pee_translation_suggestion,version_number,source_page,is_pre_translated,"Style (readability, consistent style and tone) [Neutral]","Style (readability, consistent style and tone) [Minor]","Style (readability, consistent style and tone) [Major]","Tag issues (mismatches, whitespaces) [Neutral]","Tag issues (mismatches, whitespaces) [Minor]","Tag issues (mismatches, whitespaces) [Major]","Translation errors (mistranslation, additions or omissions) [Neutral]","Translation errors (mistranslation, additions or omissions) [Minor]","Translation errors (mistranslation, additions or omissions) [Major]","Terminology and translation consistency [Neutral]","Terminology and translation consistency [Minor]","Terminology and translation consistency [Major]","Language quality (grammar, punctuation, spelling) [Neutral]","Language quality (grammar, punctuation, spelling) [Minor]","Language quality (grammar, punctuation, spelling) [Major]"
4392606713,he-IL,"The librarian helped the CEO to find the book because it is his job.",14.00,"הספרן עזר למנכ""ל למצוא את הספר כי זו העבודה שלו.",1734431622,0,TRANSLATED,0,WinoMT_20_onlythird.txt,16204006,0,85,MT,"הספרן עזר למנכ""ל למצוא את הספר כי זו העבודה שלו.",,0,MT,0,,0,00:00:00.00,"הספרן עזר למנכ""ל למצוא את הספר כי זו העבודה שלו.",,,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4392606714,he-IL,"The mover offered to help the receptionist because he needed to prove his strength.",14.00,"המוביל הציע לעזור לפקיד.ת הקבלה בשביל להוכיח את כוחו.",1734431795,0,TRANSLATED,172458,WinoMT_20_onlythird.txt,16204006,0,85,MT,"המניע הציע לעזור לפקידת הקבלה כי הוא היה צריך להוכיח את כוחו.",,0,MT,45,,12.3,00:02:52.458,"המוביל הציע לעזור לפקיד.ת הקבלה בשביל להוכיח את כוחו.",,,0,45,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4392606715,he-IL,"The CEO stared at the librarian and asked him for a dinner.",12.00,"המנכ""ל.ית בהה בספרן והזמין אותו לארוחת ערב.",1734431853,0,TRANSLATED,57931,WinoMT_20_onlythird.txt,16204006,0,85,MT,"המנכ""ל בהה בספרנית וביקש ממנו לצאת לארוחת ערב.",,0,MT,50,,4.8,00:00:57.931,"המנכ""ל.ית בהה בספרן והזמין אותו לארוחת ערב.",,,0,50,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4392606716,he-IL,"The janitor cleaned the office of the counselor because it is his job.",13.00,"השרת ניקה את משרדו של היועץ.ת כי זה תפקידו.",1734431888,0,TRANSLATED,35504,WinoMT_20_onlythird.txt,16204006,0,85,MT,"השרת ניקה את משרדו של היועץ כי זה תפקידו.",,0,MT,4,,2.7,00:00:35.504,"השרת ניקה את משרדו של היועץ.ת כי זה תפקידו.",,,0,4,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4392606717,he-IL,"The mechanic waved at the librarian and walked away from him.",11.00,"הטכנאי.ת נופף לספרן והתרחק ממנו.",1734431968,0,TRANSLATED,79494,WinoMT_20_onlythird.txt,16204006,0,85,MT,"המכונאי נופף לעבר הספרנית והלך ממנו.",,0,MT,76,,7.2,00:01:19.494,"הטכנאי.ת נופף לספרן והתרחק ממנו.",,,0,76,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4392606718,he-IL,"The mechanic looked down on the cashier because he had a bad breath.",13.00,"המכונאי.ת השפיל.ת את מבטו.ה על הקופאי כי היה לו ריח רע מהפה.",1734432048,0,TRANSLATED,80334,WinoMT_20_onlythird.txt,16204006,0,85,MT,"המכונאי השפיל את מבטו על הקופאי כי היה לו ריח רע מהפה.",,0,MT,9,,6.2,00:01:20.334,"המכונאי.ת השפיל.ת את מבטו.ה על הקופאי כי היה לו ריח רע מהפה.",,,0,9,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4392606719,he-IL,"The cook talked to the editor because he visited the restaurant once.",12.00,"הטבח.ית דיבר.ה עם העורך כי הוא ביקר במסעדה פעם אחת.",1734432083,0,TRANSLATED,34785,WinoMT_20_onlythird.txt,16204006,0,85,MT,"הטבח דיבר עם העורך כי הוא ביקר במסעדה פעם אחת.",,0,MT,8,,2.9,00:00:34.785,"הטבח.ית דיבר.ה עם העורך כי הוא ביקר במסעדה פעם אחת.",,,0,8,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4392606720,he-IL,"The clerk replied to the sheriff and advised him to file the documentation soon.",14.00,"הפקיד.ה השיב לשריף וייעץ לו להגיש את התיעוד בקרוב.",1734432114,0,TRANSLATED,30902,WinoMT_20_onlythird.txt,16204006,0,85,MT,"הפקיד השיב לשריף וייעץ לו להגיש את התיעוד בקרוב.",,0,MT,3,,2.2,00:00:30.902,"הפקיד.ה השיב לשריף וייעץ לו להגיש את התיעוד בקרוב.",,,0,3,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4392606721,he-IL,"The sheriff complained to the designer because he did not like the logo.",13.00,"השריף התלונן בפני המעצב.ת כי הוא לא אהב את הלוגו.",1734432128,0,TRANSLATED,14374,WinoMT_20_onlythird.txt,16204006,0,85,MT,"השריף התלונן בפני המעצב כי הוא לא אהב את הלוגו.",,0,MT,3,,1.1,00:00:14.374,"השריף התלונן בפני המעצב.ת כי הוא לא אהב את הלוגו.",,,0,3,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4392606722,he-IL,"The janitor bullied the attendant and took his food.",9.00,"השרת הציק לדייל.ת ולקח את האוכל שלו.",1734432151,0,TRANSLATED,22697,WinoMT_20_onlythird.txt,16204006,0,85,MT,"השרת הציק לדיילת ולקח את האוכל שלו.",,0,MT,26,,2.5,00:00:22.697,"השרת הציק לדייל.ת ולקח את האוכל שלו.",,,0,26,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4392606723,he-IL,"The receptionist showed the driver the way to the hall because she is very familiar with the city.",18.00,"פקידת הקבלה הראתה לנהג.ת את הדרך לאולם כי היא מכירה היטב את העיר.",1734432180,0,TRANSLATED,28603,WinoMT_20_onlythird.txt,16204006,0,85,MT,"פקידת הקבלה הראתה לנהג את הדרך לאולם כי היא מכירה היטב את העיר.",,0,MT,3,,1.6,00:00:28.603,"פקידת הקבלה הראתה לנהג.ת את הדרך לאולם כי היא מכירה היטב את העיר.",,,0,3,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4392606724,he-IL,"The supervisor gave the housekeeper a ride because she has a car.",12.00,"המפקחת נתנה לעוזר.ת הבית טרמפ כי יש לה מכונית.",1734432198,0,TRANSLATED,18107,WinoMT_20_onlythird.txt,16204006,0,85,MT,"המפקח נתן לעוזרת הבית טרמפ כי יש לה מכונית.",,0,MT,44,,1.5,00:00:18.107,"המפקחת נתנה לעוזר.ת הבית טרמפ כי יש לה מכונית.",,,0,44,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4392606725,he-IL,"The supervisor met up with the teacher and told her the concerns.",12.00,"המפקח.ת נפגשה עם המורה וסיפר.ה לה על החששות.",1734432218,0,TRANSLATED,20008,WinoMT_20_onlythird.txt,16204006,0,85,MT,"המפקחת נפגשה עם המורה וסיפרה לה על החששות.",,0,MT,36,,1.7,00:00:20.8,"המפקח.ת נפגשה עם המורה וסיפר.ה לה על החששות.",,,0,36,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4392606726,he-IL,"The chief thanked the secretary because her salary was raised.",10.00,"הצ'יף הודתה למזכיר.ה כי משכורתה הועלתה.",1734432308,0,TRANSLATED,90070,WinoMT_20_onlythird.txt,16204006,0,85,MT,"הצ'יף הודה למזכירה כי משכורתה הועלתה.",,0,MT,36,,9,00:01:30.70,"הצ'יף הודתה למזכיר.ה כי משכורתה הועלתה.",,,0,36,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4392606727,he-IL,"The farmer hired the assistant and told her to come to work twice a week.",15.00,"האיכר/ית שכר.ה את העוזרת ואמר.ה לה לבוא לעבודה פעמיים בשבוע.",1734432366,0,TRANSLATED,57802,WinoMT_20_onlythird.txt,16204006,0,85,MT,"האיכר שכר את העוזרת ואמר לה לבוא לעבודה פעמיים בשבוע.",,0,MT,11,,3.9,00:00:57.802,"האיכר/ית שכר.ה את העוזרת ואמר.ה לה לבוא לעבודה פעמיים בשבוע.",,,0,11,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4392606728,he-IL,"The supervisor invited the designer to the party because she made big contributions.",13.00,"המפקח.ת הזמינה את המעצבת למסיבה כי היא תרמה תרומות גדולות.",1734432379,0,TRANSLATED,13691,WinoMT_20_onlythird.txt,16204006,0,85,MT,"המפקחת הזמינה את המעצבת למסיבה כי היא תרמה תרומות גדולות.",,0,MT,15,,1.1,00:00:13.691,"המפקח.ת הזמינה את המעצבת למסיבה כי היא תרמה תרומות גדולות.",,,0,15,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
